account_id,account_iban,account_currency,account_open_date,account_close_date
6a38b4b3-5be3-480f-ab22-f92655cb3661,CH0663358363288523451,CHF,2013-04-11,
0643d81e-a433-4916-afea-8c84f562e4c2,NGYEPAGQ,PAB,2022-06-07,
f7ee7526-c301-476a-9d57-9ff8e7681405,CH5433375935966320724,CHF,2015-12-10,
fd9cd181-ffdb-45c7-9db6-3373c0b92dce,CH5608677089641626037,CHF,2019-10-09,
13f19bd0-725c-42c5-ad07-f1096aab7ba7,CH7983531071654121044,CHF,2016-02-10,
36db70c8-6ed0-4a5b-ade8-984d97c883b8,CH2093881736993588530,CHF,2015-01-18,
8ff8d799-e4ee-4a4a-be82-8c179ea891da,CH6474474815021399604,CHF,2019-12-31,
1d147acf-b54d-4ff5-a289-6cfb7f228f83,CH6352382476456361343,CHF,2020-08-12,
91b376e3-bcfd-4279-9d0e-9b1acab7fa10,CH8110932128708455382,CHF,2017-06-11,
05b17be7-c7f3-44e2-83aa-005647aba186,CH3871519758308451122,CHF,2010-02-18,
10869e70-1ea2-4a1f-98f2-632e0f19e981,CH2942271599797234480,CHF,2010-06-30,
619f08b4-0742-4c98-9853-7ff80378a097,CMOXPALO,PAB,2020-08-14,
022a98b6-7a1d-4877-b786-1bd9152d698f,CH4478016129932023129,CHF,2013-11-18,
29bf7896-b819-4c4d-8df3-cdd7c46bf563,CH5221772230199753820,CHF,2019-06-27,
73c7330d-a3db-43e1-a54d-cef5a017e269,CH0813333295300833095,CHF,2019-05-13,
7abb52bd-5ca1-4b33-9458-dc1ba8afc706,CH2160561810569465064,CHF,2011-06-14,
4085c70e-7c4f-4b23-b903-4f9639be0fcc,CH1680182326286230075,CHF,2022-10-24,
7f8ed4f3-a603-489f-a127-c435dbfd1580,CH7353892231057779775,CHF,2013-07-10,
c4d4c577-46d7-4e41-84ea-6178cd65a753,CH9570091221448138759,CHF,2015-12-31,
e951098f-80d6-4652-9f22-41f99d6df336,CH0576435769589685477,CHF,2011-12-08,
f416b667-38b4-4125-923f-6a8bd1d7bc44,CH8125627377293457661,CHF,2018-10-23,
ec50575c-c1e2-40f1-8745-ddec55498e4d,CH4190926973623827753,CHF,2010-10-21,
e2904036-9cc0-4772-9b27-85d52f303b2b,CH1471963004359398614,CHF,2014-04-11,
12d3130d-2cf1-409a-bffd-8c77baa7b122,CH3836095751183945729,CHF,2022-05-15,
24fe7f31-d78f-42dd-a570-d8c322cba2c8,CH1225219980743462365,CHF,2017-02-24,
963ad468-4467-42c7-9b19-6b91e81f732a,CH0497696899359811030,CHF,2011-10-23,
d04983c5-8f1d-4713-b624-cf29675a0a5a,CH3569647632488020400,CHF,2018-09-14,
cf541360-b0e6-49b6-907a-a11c6d3c33af,CH1048604387109440499,CHF,2019-04-13,
7ac90b71-f21b-404f-b062-815927239855,CH5170613469972638630,CHF,2015-10-08,
32c7dd3d-48f0-4afd-a9e8-f0ef36fb2486,CH2921814211647090202,CHF,2018-05-22,
c798cd76-a227-47ac-aec3-bc6d53dd333c,CH8981099830749340484,CHF,2017-10-11,
8589e632-4f6a-4ed6-a056-cd3efbbc57aa,CH7496625370655577755,CHF,2019-07-29,
e12be22c-3192-4133-9434-f2589928ef8a,CH1246428260781871057,CHF,2017-01-22,
ec93f0e7-9c68-4594-ab09-c4a8940ff4c4,UYUTPA1T60Q,PAB,2015-08-14,
ba60b273-354e-454f-829d-70c1da0436aa,AZQYPA2C,PAB,2016-08-06,
b6e56398-3530-40c8-b6bf-b3cf92052e6a,CH9026443139107193036,CHF,2018-02-01,
353c7277-4f7a-40c4-87bd-480312159398,CH8329242849574670534,CHF,2011-01-04,
1d140395-b93c-4bc0-a87b-211d0730acf3,CH3856774485975401220,CHF,2011-06-23,
23f05cea-86e0-4bb4-8f75-9baf2d4fafbc,CH4287174668758408244,CHF,2018-01-06,
cb1e536f-5dbc-43c8-b6ce-b227e3b2166c,CH3691976361705943511,CHF,2016-07-21,
5aef8dbd-f031-400d-b85e-ccb120400911,CH2068217141220507301,CHF,2012-01-01,
357e518b-c02b-4b44-abd1-74deadfeb46a,CH0564660395771650559,CHF,2012-06-15,
7cd697cc-a7d6-4b4b-9b45-ee8ac6a58f0d,CH7532805888419817815,CHF,2022-10-04,
5814c8fc-84bf-4e76-8b5a-c3ea78b650e0,FR2947688348767027026519459,EUR,2016-06-26,
5fd96a65-9f00-4012-82b3-979257876e1f,CH1187813090796202157,CHF,2022-06-26,
c5f0fa96-c926-493e-b187-73e7fd643dbc,CH6167669176433854882,CHF,2017-05-04,
0b9ddab9-8287-4887-8529-3526b0f5a8c0,CH3436462841191542771,CHF,2016-07-08,
c47900b1-0fb2-4838-ab04-a520c7a5fce3,CH8631932137568729615,CHF,2010-01-15,
0bcb9f5b-0a9c-4bd8-96ab-d5e4d40c4d90,CH2628719003929656264,CHF,2018-07-26,
3d687a0a-f4cf-4f2f-b6a9-81777334f621,CH0848083446101183980,CHF,2013-09-15,
13da9b56-f885-45f1-8c10-5ef09144b37a,RKKAPAWBESV,PAB,2018-08-02,
92a0322d-43f5-487b-a90a-a008670c3a13,CH5688822782907650015,CHF,2016-03-27,
969b7692-1bcc-435f-ba03-ad0bce014060,FR4263021448213845479517570,EUR,2010-01-11,
752e0d0d-206e-42cb-85ee-cddfa8a0ee90,CH3804023652171665302,CHF,2014-07-15,
5457b802-a6af-4737-8f46-82af2753c2ff,CH9789642040480590520,CHF,2013-06-01,
daff6313-4577-457d-819c-d117d55f0969,FR5674743845043959688966339,EUR,2014-07-19,
2f101f6d-1b25-4deb-97db-636d36282787,CH2005390007162829163,CHF,2014-10-30,
526e6549-148f-4eda-bb5a-8bf8438df90c,CH1141223367261567487,CHF,2011-06-26,
69f6b669-c471-4792-91d4-b3b945cff664,CH8259029654680219184,CHF,2014-03-10,
1fef6120-590f-4488-8229-a9dd12f63689,CH5041524016652251927,CHF,2013-03-26,
5410f607-300e-4f6f-a713-8041c46ae764,CH0738659619965746171,CHF,2017-05-12,
