partner_id,industry_gic2_code,partner_class_code,partner_gender,partner_name,partner_phone_number,partner_birth_year,partner_address,partner_open_date,partner_close_date
06c41ef1-2f8f-4ae5-9203-91d96ea8b97f,Individual,I,F,Amela Wettstein,081 289 36 84,1978-11-07,"Bärstrasse 9
9311 Arbon",2013-04-11,
d25181ee-e77a-498e-8e10-69d0e38ef45c,Individual,I,M,Claus Brunner,033 276 31 37,1965-01-06,"Schärerstrasse 2
9187 Oftringen",2015-12-10,
70e297f9-5729-4d72-b25e-d8e93b50e7d5,Individual,I,F,Diane Christen,+41 62 684 14 54,1986-09-06,"Bieristrasse 10
8466 Zollikon",2019-10-09,
09bbbe2b-bfbc-4573-947a-f3f47814e19f,Individual,I,M,Henry Kuhn,+41 26 412 08 35,1950-02-23,"Schochstrasse 173
7777 Aarau",2015-01-18,
d640037a-0eac-4f31-be45-06c67452060f,Individual,I,M,Albert Gloor,+41 27 240 79 34,1993-10-11,"Haasstrasse 71
3857 Rüti",2019-12-31,
50227ec6-df35-4c31-9cb7-a46a4bba6f52,Individual,I,F,Agathe Frey,091 151 94 62,1981-10-29,"Lustenbergerstrasse 30
8529 Ecublens",2020-08-12,
94228541-a606-47ba-a865-816d71d16f39,Individual,I,F,Carole Schürch,041 521 47 09,1993-05-10,"Tannerstrasse 67
5709 Bassersdorf",2017-06-11,
4241bf49-1f9b-4484-a23b-a4d2a920f707,Individual,I,F,Dora Moser,+41 62 931 05 87,1950-08-17,"Schäferstrasse 38
7260 Kloten",2010-02-18,
2b07c7fe-2cc7-4727-8dfd-c01ac85e7ff8,Individual,I,F,Lana Schaub,091 660 79 12,1994-04-30,"Baderstrasse 692
2478 Pfäffikon",2010-06-30,
e7621040-b389-4b5a-aae4-b12ff39fb1d2,Individual,I,F,Rosina Michel,033 991 47 84,1952-09-11,"Rothstrasse 41
2240 Oftringen",2013-11-18,
2579069b-9d2e-47c4-aa40-2a69cae8b166,Individual,I,,Zorica Gross,+41 41 590 24 20,1984-08-30,"Lehmannstrasse 74
3705 Payerne",2019-06-27,
82c49493-03ef-4291-b32f-d14b0bd31ce5,Individual,I,M,Jeremy Stauffer,032 863 40 15,2001-08-12,"Grobstrasse 60
6709 Freiburg",2019-05-13,
0dfb6c60-5406-4f70-890b-294db80cdcb2,Individual,I,F,Louisa Zehnder,+41 31 437 74 58,1977-06-29,"Meilistrasse 82
3102 Rüti",2011-06-14,
826d755d-8d5d-4a39-a5b6-39f3ba8533e1,Individual,S,,,,,,2016-05-28,
6f52d3c7-a798-4a13-b435-98ec196372a9,Individual,I,F,Tiziana Ziegler,+41 56 989 16 98,1971-12-25,"Stalderstrasse 892
7022 Mendrisio",2011-12-08,
3bcd986f-b3cb-4b1a-b67e-f8dd497dee7f,Individual,I,M,Meinrad Bühlmann,021 010 99 75,1996-05-24,"Zinggstrasse 922
1493 Schlieren",2018-10-23,
de9055ad-4c7f-4bf6-9c2b-830e222aa9a9,Individual,I,F,Myrtha Imhof,022 303 91 72,1950-03-31,"Gfellerstrasse 757
6425 Weinfelden",2010-10-21,
d48b870e-7d61-41f3-8c7a-40608e0172a9,Individual,S,,,,,,2019-04-30,
c8301c41-1163-47f1-aeb1-c3a66239a879,Individual,I,F,Raphaela Forster,+41 21 824 55 76,1953-07-16,"Schwabstrasse 32
7500 Gland",2017-02-24,
7fba444f-d722-493d-815c-69bd3dd56787,Individual,I,F,Chantal Wüthrich,056 271 57 73,1970-09-12,"Thommenstrasse 50
4955 Gossau",2011-10-23,
71880b6e-3019-4c3c-b752-f860218eced8,Individual,I,F,Adelina Zürcher,044 365 67 70,1960-05-09,"Näfstrasse 43
8795 Lyss",2018-09-14,
676632fc-dbf6-41c1-bcb2-47a1916c4b40,Individual,I,F,Margit Weibel,+41 91 565 50 40,1956-07-19,"Hürlimannstrasse 67
3085 Monthey",2019-04-13,
fd4ae663-cc89-46b8-bedb-da61544496d9,Individual,I,F,Filomena Grob,055 964 02 39,1998-03-12,"Gutstrasse 59
2425 Schwyz",2015-10-08,
378238aa-db3f-47a2-a09e-9a09161e107e,Individual,I,M,Vitor Bättig,+41 56 925 06 77,1986-02-25,"Hartmannstrasse 944
5010 Volketswil",2018-05-22,
1591ffeb-1286-46ea-990e-73340abddfb1,Individual,I,F,Aloisia Schmid,032 469 76 16,1956-03-02,"Bühlmannstrasse 19
4660 Freiburg",2017-10-11,
7f5429b1-c884-45a0-ac84-eec08f60efd6,Individual,I,,Stefania Furrer,022 221 16 32,1960-08-27,"Blaserstrasse 28
4917 Lutry",2019-07-29,
072c2f0f-4ac8-4f84-b8b1-23e87f0548bd,Individual,S,,,,,,2013-02-28,
9224a770-bdde-4abc-8f94-ef4b11380233,Individual,I,F,Laura Bruce,(229)957-3404x85883,1996-12-24,"66202 Wheeler Point
Murrayview, PR 38485",2015-08-14,
dded4ef8-a8c1-4f9c-8269-348ca2150946,Individual,I,F,Kimberly Nichols,+1-918-532-6955x90985,1964-04-26,"260 David Spur Apt. 348
North Robertbury, VI 90182",2016-08-06,
e4ca11f2-f1ab-412d-adcd-aa355f5b55f6,Individual,S,,,,,,2010-09-04,
dbd6c60a-b853-4837-92b4-8e13fa023a57,Individual,S,,,,,,2018-09-19,
604ae76f-a24b-4ca4-83ce-e96536a44eba,Individual,S,,,,,,2020-09-23,
15e30f75-376b-4c5e-b2c9-a4db14184231,Individual,I,M,Kuno Ziegler,+41 31 522 90 88,1972-02-04,"Näfstrasse 1
5450 Wetzikon",2016-07-21,
7d4c361f-c4f8-44c3-8d07-57b47647e2a5,Individual,S,,,,,,2018-06-21,
ef05e55e-1194-4779-a59d-48acf5c4dbd7,Individual,I,M,Tomasz Meister,+41 31 739 03 29,1960-09-20,"Leustrasse 37
3024 Bülach",2012-06-15,
10ae4aed-991b-4f69-aa25-9134c2186010,Individual,I,M,Arsim Lutz,+41 56 480 84 64,1990-02-15,"Bieristrasse 2
9857 Thun",2022-10-04,
e25a33b7-ab6e-4978-a72b-144a252a6d45,Individual,I,F,Norma Schuler,062 130 85 63,1954-08-05,"Scheideggerstrasse 217
3474 Payerne",2016-07-08,
920d27ae-80da-4b52-97c7-afcdd5bfb911,Individual,I,M,Gregor Bieri,022 875 11 93,1960-07-31,"Hoferstrasse 40
8630 Küssnacht",2010-01-15,
94729d87-7256-4059-a11e-a68a3f2a9954,Individual,I,F,Audrey Zürcher,+41 71 937 17 28,1998-09-11,"Hafnerstrasse 24
7170 Richterswil",2018-07-26,
be58fd61-f42c-4f5d-b9c6-634b21a035bd,General medical practice activities,B,M,Geiger Zollinger GmbH,+41 41 872 42 36,1999-04-04,"Schärerstrasse 14
9267 Münchenbuchsee",2013-09-15,
0859a8cb-7987-4f06-babc-7fcce9e9d85e,Individual,I,F,Shelby Owens,+1-437-361-7300x62510,1983-04-06,"8418 Garcia Trafficway Apt. 070
New Josephchester, NH 38150",2018-08-02,
6b01cf01-5fb7-40e4-bd8f-b9e92426e315,Management of real estate,B,M,Häfliger Hodel & Söhne,055 395 84 06,1991-05-19,"Beckstrasse 59
5158 La Tour-de-Peilz",2014-07-15,
10cc24b3-398f-4a1e-9e53-81344b0897bf,Individual,S,,,,,,2022-05-26,
422e0167-e8fa-46f1-96b3-74164511bad9,Individual,S,,,,,,2017-02-06,
a7724552-5d35-4cbb-a645-4b141037e457,Individual,I,M,Altin Lustenberger,+41 34 263 28 12,1977-11-04,"Kesslerstrasse 84
8333 Bernex",2014-10-30,
d96c2ed8-83f4-4ab5-8173-81c6bf4b07f2,Individual,I,F,Laure Ackermann,+41 33 547 29 50,1954-12-04,"Schlatterstrasse 98
7287 Ostermundigen",2011-06-26,
c4ba501e-14b8-440a-9a65-1dbbea278a8b,Individual,I,F,Lucette Blaser,+41 24 076 36 39,1998-07-23,"Hofstetterstrasse 413
9334 Mendrisio",2013-03-26,
16d0e842-d203-4cec-a5ee-a7a6863df906,Individual,I,M,Yanis Gloor,+41 61 269 82 61,1986-09-17,"Scheideggerstrasse 60
9425 Wettingen",2017-05-12,
3725e858-bb32-4923-9b44-f7956230248b,Individual,I,F,Erika Bucher,041 534 30 40,1977-06-18,"Lustenbergerstrasse 40
1194 Amriswil",2017-03-02,
89d9fc94-1533-4ba0-b4e4-677160cee153,Individual,S,,,,,,2015-05-06,
d4125754-bb87-45b8-af60-9a9062f2d4b4,Individual,I,M,Edon Hartmann,062 141 24 18,1976-12-25,"Gloorstrasse 71
9974 Chur",2013-11-27,
7e23b6fc-4975-4aff-88de-37d493fc33ed,Individual,I,F,Hélène Zimmermann,+41 21 706 62 79,1981-03-14,"Schulerstrasse 25
9139 Veyrier",2016-02-12,
a6268097-dd88-45ab-a08e-57540690d3a7,Individual,I,,Noemi Bianchi,+41 81 871 07 67,1951-08-22,"Hermannstrasse 15
3527 Baar",2015-08-24,
7cb3c7bb-2fed-4d2d-8a91-d02dce5f944e,Individual,I,F,Sylvana Zänker,(06146) 77791,1989-05-03,"Ruststraße 0
31061 Schlüchtern",2021-03-21,
15a8e290-0fd2-4170-8581-8c62678f2763,Individual,I,F,Elise Schmid,041 101 83 71,2000-06-15,"Hoffmannstrasse 256
2533 Veyrier",2017-01-07,
ee8a494b-d68e-4825-b31f-21ce20c24c14,Individual,I,F,Fitore Kaiser,+41 34 340 68 62,1995-07-26,"Seilerstrasse 12
5690 Naters",2017-09-04,
54bf4bed-3551-47cc-a39b-3762ca36600c,Individual,I,M,Max Lutz,056 074 70 15,1952-03-08,"Walterstrasse 6
3161 Neuhausen",2016-07-28,
700e9249-3bf4-4c4c-8871-f84d1511df87,Individual,I,F,Inge Meister,+41 71 900 28 70,1965-08-23,"Steinerstrasse 96
5867 Opfikon",2011-01-18,
8b50936b-0cef-496b-a0c5-93eb4dbe6a69,Individual,I,F,Regina Meyer,032 277 93 34,1970-01-07,"Bernasconistrasse 724
5005 Cham",2012-12-19,
13551a0f-8d96-4ccb-80a1-ba282c95fde1,Individual,I,M,Sam Gut,027 008 74 69,1966-03-09,"Schaubstrasse 43
3434 Wädenswil",2015-05-04,
02ec9335-316a-467b-a64a-89e6534f32b8,Individual,I,F,Theresa Kälin,024 258 52 48,1960-10-29,"Bühlmannstrasse 73
6487 Kreuzlingen",2016-11-22,
cf80676a-7f00-4b46-bbee-04b6958fa565,Construction engineering,B,F,Huber Zingg GmbH,056 122 65 63,1976-11-19,"Fehrstrasse 33
4308 Weinfelden",2021-06-01,
1322c24d-c9d7-4fe4-a71a-0e16161f8b55,Individual,I,M,Noé Schumacher,056 468 93 14,1961-10-22,"Vogelstrasse 31
3722 Adliswil",2019-07-30,
e0aa6e84-c603-4a48-8139-74226b840044,Individual,I,,Lya Schmid,+41 22 020 12 21,2000-06-27,"Lehmannstrasse 5
3819 Emmen",2017-04-29,
9fa037db-ce4b-4d54-a587-3598de1d6b2c,Individual,I,F,Maëlle Rey,044 402 07 67,1993-05-03,"Schumacherstrasse 32
4700 Münchenbuchsee",2019-04-18,
43b5b71a-7739-4258-89c8-e84c166b9f0f,Individual,I,M,Can Portmann,031 435 73 96,1988-03-14,"Hermannstrasse 73
2460 Carouge",2013-04-18,
